0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	0	74	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	18	0	0	0	0	
2004	4	46	8	33	0	0	0	0	47	0	0	33	0	0	0	0	6	6	0	0	0	0	0	0	0	2	0	0	0	0	
2005	19	11	1	9	0	0	0	0	0	0	1	0	0	0	0	0	3	4	0	0	3	2	0	0	0	1	0	0	0	2	
2006	77	21	8	0	0	0	0	0	0	16	4	5	0	8	0	20	9	0	0	0	0	21	0	0	1	1	0	0	0	1	
2007	27	50	22	6	0	1	0	0	0	28	4	3	0	9	1	4	4	0	0	0	0	1	0	0	6	1	0	0	0	1	
2008	139	46	42	8	0	0	3	3	0	0	30	0	0	6	0	3	2	0	18	0	0	0	0	3	4	0	0	0	0	3	
2009	105	49	19	5	0	0	6	22	0	0	2	0	0	1	21	5	0	0	7	0	0	1	22	7	0	0	0	1	15	7	
2010	200	33	46	37	35	23	21	8	0	0	0	0	8	4	2	1	5	0	1	10	0	0	4	16	7	0	2	13	3	1	
2011	173	25	68	65	90	37	26	12	0	0	0	0	31	7	10	0	2	0	3	19	11	2	0	0	5	0	21	8	0	3	
2012	38	3	17	0	6	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	
